"","Oligodendrocytes_vs_OPC","Oligodendrocytes_vs_Astrocytes","Oligodendrocytes_vs_Microglia","Oligodendrocytes_vs_Endothelial","Oligodendrocytes_vs_Excitatory","Oligodendrocytes_vs_Inhibitory","OPC_vs_Oligodendrocytes","OPC_vs_Astrocytes","OPC_vs_Microglia","OPC_vs_Endothelial","OPC_vs_Excitatory","OPC_vs_Inhibitory","Astrocytes_vs_Oligodendrocytes","Astrocytes_vs_OPC","Astrocytes_vs_Microglia","Astrocytes_vs_Endothelial","Astrocytes_vs_Excitatory","Astrocytes_vs_Inhibitory","Microglia_vs_Oligodendrocytes","Microglia_vs_OPC","Microglia_vs_Astrocytes","Microglia_vs_Endothelial","Microglia_vs_Excitatory","Microglia_vs_Inhibitory","Endothelial_vs_Oligodendrocytes","Endothelial_vs_OPC","Endothelial_vs_Astrocytes","Endothelial_vs_Microglia","Endothelial_vs_Excitatory","Endothelial_vs_Inhibitory","Excitatory_vs_Oligodendrocytes","Excitatory_vs_OPC","Excitatory_vs_Astrocytes","Excitatory_vs_Microglia","Excitatory_vs_Endothelial","Excitatory_vs_Inhibitory","Inhibitory_vs_Oligodendrocytes","Inhibitory_vs_OPC","Inhibitory_vs_Astrocytes","Inhibitory_vs_Microglia","Inhibitory_vs_Endothelial","Inhibitory_vs_Excitatory"
"ELAVL1",-0.117260495358469,0.0140392589092622,0.0651085028618756,0,-0.507230845993585,-0.237422436571643,0.117260495358469,0.131299754267731,0.182368998220344,0,-0.389970350635116,0,-0.0140392589092622,-0.131299754267731,0,0,-0.521270104902847,-0.251461695480905,-0.0651085028618756,-0.182368998220344,0,0,-0.572339348855461,-0.302530939433519,0,0,0,0,-0.538464114276752,0,0.507230845993585,0.389970350635116,0.521270104902847,0.572339348855461,0.538464114276752,0.269808409421942,0.237422436571643,0,0.251461695480905,0.302530939433519,0,-0.269808409421942
"ENOX1",1.03651792787615,0.972796917597036,1.70946983214406,1.2024446451024,-1.36554801517547,-0.902177342095771,-1.03651792787615,-0.063721010279119,0.672951904267906,0,-2.40206594305162,-1.93869526997193,-0.972796917597036,0.063721010279119,0.736672914547025,0.229647727505363,-2.3383449327725,-1.87497425969281,-1.70946983214406,-0.672951904267906,-0.736672914547025,-0.507025187041662,-3.07501784731953,-2.61164717423983,-1.2024446451024,0,-0.229647727505363,0.507025187041662,-2.56799266027787,-2.10462198719817,1.36554801517547,2.40206594305162,2.3383449327725,3.07501784731953,2.56799266027787,0.463370673079697,0.902177342095771,1.93869526997193,1.87497425969281,2.61164717423983,2.10462198719817,-0.463370673079697
"ESRP2",0,0,0,0,-0.00038418259683537,-0.000895633948019281,0,0,-0.00047355819919348,0,-0.000798171550588034,-0.00130962290177195,0,0,0,0,-0.00038206953139186,-0.000893520882575771,0,0.00047355819919348,0,0,-0.000324613351394554,-0.000836064702578465,0,0,0,0,-0.000798171550588034,0,0.00038418259683537,0.000798171550588034,0.00038206953139186,0.000324613351394554,0.000798171550588034,-0.000511451351183911,0.000895633948019281,0.00130962290177195,0.000893520882575771,0.000836064702578465,0,0.000511451351183911
"FMR1",0,-0.0830270667761193,0,0,-0.529776836120325,-0.292648913440784,0,-0.0171391471333784,0,0,-0.463888916477584,-0.226760993798043,0.0830270667761193,0.0171391471333784,0.111142624590164,0,-0.446749769344205,-0.209621846664664,0,0,-0.111142624590164,0,-0.557892393934369,-0.320764471254829,0,0,0,0,0,0,0.529776836120325,0.463888916477584,0.446749769344205,0.557892393934369,0,0.237127922679541,0.292648913440784,0.226760993798043,0.209621846664664,0.320764471254829,0,-0.237127922679541
"FUS",-0.207239395349222,0.0843607577637728,0,0,-0.564337243940843,-0.262490579992337,0.207239395349222,0.291600153112995,0.229976951718339,0.282035633572228,-0.357097848591621,-0.0552511846431143,-0.0843607577637728,-0.291600153112995,-0.0616232013946565,0,-0.648698001704616,-0.34685133775611,0,-0.229976951718339,0.0616232013946565,0,-0.58707480030996,-0.285228136361453,0,-0.282035633572228,0,0,-0.639133482163849,0,0.564337243940843,0.357097848591621,0.648698001704616,0.58707480030996,0.639133482163849,0.301846663948506,0.262490579992337,0.0552511846431143,0.34685133775611,0.285228136361453,0,-0.301846663948506
"FXR1",0.089307453259954,0.116199885411364,0.40864343341131,0.171260266978209,-0.630964471650173,-0.291400942708834,-0.089307453259954,0,0.319335980151356,0,-0.720271924910127,-0.380708395968788,-0.116199885411364,0,0.292443547999946,0,-0.747164357061537,-0.407600828120198,-0.40864343341131,-0.319335980151356,-0.292443547999946,-0.237383166433101,-1.03960790506148,-0.700044376120144,-0.171260266978209,0,0,0.237383166433101,-0.802224738628381,-0.462661209687043,0.630964471650173,0.720271924910127,0.747164357061537,1.03960790506148,0.802224738628381,0.339563528941338,0.291400942708834,0.380708395968788,0.407600828120198,0.700044376120144,0.462661209687043,-0.339563528941338
"FXR2",0.0121940090313144,0,0,0,-0.223545492226914,0,-0.0121940090313144,0,0,0,0,0,0,0,0,0,-0.223037187548817,0,0,0,0,0,-0.267592976132818,0,0,0,0,0,0,0,0.223545492226914,0,0.223037187548817,0.267592976132818,0,0.0964344698407438,0,0,0,0,0,-0.0964344698407438
"HNRNPA1",0,0.0211005122847994,0,0,0,-0.19496447138111,0,0,0,0,-0.298330945646604,-0.18474413355843,-0.0211005122847994,0,0,0,-0.329651795754083,-0.216064983665909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298330945646604,0.329651795754083,0,0,0.113586812088174,0.19496447138111,0.18474413355843,0.216064983665909,0,0,-0.113586812088174
"HNRNPA1L2",0,0,0,0,-0.0128117341052583,-0.0107258374946508,0,0,0.00189369130558648,0,-0.0123109788631621,-0.0102250822525547,0,0,0,0,-0.0100657246071958,-0.00797982799658836,0,-0.00189369130558648,0,0,-0.0142046701687486,-0.0121187735581412,0,0,0,0,-0.00769275691365978,0,0.0128117341052583,0.0123109788631621,0.0100657246071958,0.0142046701687486,0.00769275691365978,0.00208589661060743,0.0107258374946508,0.0102250822525547,0.00797982799658836,0.0121187735581412,0,-0.00208589661060743
"HNRNPA2B1",-0.196883477460762,0.0491201240147499,0.213113130616689,0.163484731069792,-0.520436376327824,0,0.196883477460762,0.246003601475512,0.409996608077451,0.360368208530554,0,-0.0281009386317859,-0.0491201240147499,-0.246003601475512,0.163993006601939,0,-0.569556500342574,-0.274104540107298,-0.213113130616689,-0.409996608077451,-0.163993006601939,0,-0.733549506944513,-0.438097546709237,-0.163484731069792,-0.360368208530554,0,0,-0.683921107397616,-0.38846914716234,0.520436376327824,0,0.569556500342574,0.733549506944513,0.683921107397616,0.295451960235276,0,0.0281009386317859,0.274104540107298,0.438097546709237,0.38846914716234,-0.295451960235276
