"","Oligodendrocytes","OPC","Astrocytes","Microglia","Endothelial","Excitatory","Inhibitory"
"HNRNPK",-0.199089404824827,0,-0.141966271005896,-0.260415249495603,0,0.368636050489603,0.143113307420413
"HNRNPL",0,-0.111878342380421,-0.109700916029398,-0.203605448858563,0,0.362261692593876,0
"HNRNPLL",-0.512082499449329,-0.1123837987333,-0.201798852885528,-0.284478182279805,0,0.876697578487108,0
"HNRNPR",-0.245863962796097,0.0119155972068872,-0.193592515101036,-0.267217150728032,-0.292892504010133,0.470826639228427,0.123658521911792
"IGF2BP2",-0.0244480037129253,0.0605914108255847,0.0349144529698577,-0.0123411431041687,0.11233163061277,-0.00081436716155836,-0.00462994069066713
"IGF2BP3",-0.0615106737396576,0,-0.0174800342743582,-0.000240018116764773,0,0.00597670408195405,0.157652669817514
"KHDRBS1",-0.329806852438885,-0.166827159454989,-0.19832058617505,-0.208231173906724,0,0.581866952488237,0.182805059002272
"KHDRBS2",-3.0833958764039,-1.71614558234781,-2.5990496653083,-2.45152790700427,-1.5893385663339,3.46785146605294,0.292589342113106
"KHDRBS3",-2.41729024818949,0.11588927133038,-2.04268794321205,-1.16388746996047,-1.47745076348959,3.16531678560256,-0.620870401453067
"LIN28A",-0.00178846175655512,0.000132466988689517,1.48939763899847e-05,-0.00122352184733776,0,0.00333411025406027,-5.72992489165092e-05
"MATR3",-0.0360596711229841,0,-0.0444839480748318,-0.0391588670961691,0,0.0985142799734229,0.0159516912517166
"MBNL1",-0.639240368662762,-0.565199569796811,-0.350153887573193,0.0370761712691863,0,1.2874738243023,-0.302127195317315
"MSI1",-0.0725774966905293,0.0305177396311738,0.155457581124256,-0.0401237735546376,0,-0.00313364209188038,0.00194511305737399
"NAB2",-0.083581250742746,0,-0.00762083685970016,-0.0290737541954602,0,0.14072370699479,0.0261150201215097
"PABPC1",-0.461934891150537,-0.199907164830414,-0.294300622752963,0.00980932688753189,0,0.797791347998279,0.127202889795853
"PABPC3",-0.0011047425287869,0.000838525140202551,0.00433053560207886,-0.00212569650664696,0,-0.000304727747029609,-0.00117081567066823
"PABPC4",-0.0683129278009027,0,-0.0172712044990277,-0.00611157759416203,0,0.120087556912727,0.0296746258015972
"PABPC5",-0.0179900325931825,0.0319241780186086,-0.0199990672778687,-0.0306885731937803,0,0.0380836887556943,0.00633691932341485
"PABPN1",-0.292223162281955,-0.0074654289229652,0,-0.193968008729859,0,0.426166413282227,0.169867329141749
"PCBP1",-0.111052950957988,-0.0870740824850313,-0.14742636708935,0,0,0,0
"PCBP2",-0.192547515457183,-0.137740716222232,0,-0.256816284390763,0,0.389202331462893,0
